"","ID.true","Word","Label","ConcValCombo","Task","BlockOrder","Group","Response","Accuracy","EventTime","Value","RT","ReactionTime","Key_value_F","Key_value_J","Comments","LogReactionTime","LogRT","TrialNumber"
"1","5a51ba7676d1c60001aaa660","resentment","test_val","abstract-negative","Valence","VC","A","positive",0,1737994385330,"positive",1432,939,"negative","A","",6.84481547920826,7.26682734752059,1
"2","5a51ba7676d1c60001aaa660","chocolate","test_val","concrete-positive","Valence","VC","A","positive",1,1737994386929,"positive",1398.66666666667,839,"negative","A","",6.73221070646721,7.24327468084808,2
"3","5a51ba7676d1c60001aaa660","sunshine","test_val","concrete-positive","Valence","VC","A","positive",1,1737994388238,"positive",1475.16666666667,551,"negative","A","",6.31173480915291,7.29652625674082,3
"4","5a51ba7676d1c60001aaa660","grief","test_val","abstract-negative","Valence","VC","A","negative",1,1737994389506,"negative",1358.66666666667,512,"negative","A","",6.23832462503951,7.21425910567451,4
"5","5a51ba7676d1c60001aaa660","garbage","test_val","concrete-negative","Valence","VC","A","negative",1,1737994390766,"negative",1375.91666666667,499,"negative","A","",6.21260609575152,7.22687545464383,5
"6","5a51ba7676d1c60001aaa660","failure","test_val","abstract-negative","Valence","VC","A","negative",1,1737994392077,"negative",1329.33333333333,550,"negative","A","",6.30991827822652,7.19243284241362,6
"7","5a51ba7676d1c60001aaa660","gratitude","test_val","abstract-positive","Valence","VC","A","positive",1,1737994393463,"positive",1446.33333333333,630,"negative","A","",6.44571981938558,7.27678689713024,7
"8","5a51ba7676d1c60001aaa660","hug","test_val","concrete-positive","Valence","VC","A","positive",1,1737994394825,"positive",1346.83333333333,604,"negative","A","",6.40357419793482,7.20551143700539,8
"9","5a51ba7676d1c60001aaa660","lonliness","test_val","abstract-negative","Valence","VC","A","negative",1,1737994396335,"negative",1490.83333333333,749,"negative","A","",6.61873898351722,7.30709052671476,9
"10","5a51ba7676d1c60001aaa660","fireplace","test_val","concrete-positive","Valence","VC","A","positive",1,1737994397869,"positive",1396.58333333333,774,"negative","A","",6.65157187358973,7.24178405659687,10
"11","5a51ba7676d1c60001aaa660","envy","test_val","abstract-negative","Valence","VC","A","negative",1,1737994399246,"negative",1380,622,"negative","A","",6.43294009273918,7.22983877815125,11
