,index,Word,Conc.M,Conc.SD,V.Mean.Sum,V.SD.Sum,WeightedSum,ConcValCombo,Valence,Animacy,SUBTLWF
0,2180.0,heroin,4.57,0.94,2.74,2.6,0.07000000000000006,concrete-negative,negative,inanimate,9.82
1,3167.0,swastika,4.29,1.23,2.33,2.01,0.16000000000000014,concrete-negative,negative,inanimate,0.55
2,3282.0,wiretap,4.25,1.14,2.95,2.41,0.27,concrete-negative,negative,inanimate,0.53
3,2346.0,cocaine,4.52,0.96,3.05,2.44,0.30499999999999994,concrete-negative,negative,inanimate,8.25
4,2696.0,excrement,4.43,1.04,2.0,1.33,0.33499999999999996,concrete-negative,negative,inanimate,1.22
5,3220.0,poison,4.27,1.01,2.16,1.46,0.3500000000000001,concrete-negative,negative,inanimate,24.55
6,370.0,gunshot,4.93,0.27,2.79,2.06,0.365,concrete-negative,negative,inanimate,10.2
7,1982.0,flood,4.62,0.78,2.76,2.02,0.3699999999999999,concrete-negative,negative,inanimate,5.71
8,3277.0,smallpox,4.25,1.08,2.02,1.26,0.38,concrete-negative,negative,inanimate,1.47
9,611.0,corpse,4.89,0.42,2.45,1.64,0.40500000000000014,concrete-negative,negative,inanimate,10.1
2629,,prize,4.45,0.74,8.0,0.86,3.57,concrete-positive,positive,inanimate,22.39
3401,,sunshine,4.21,0.94,8.14,1.13,3.5050000000000003,concrete-positive,positive,inanimate,11.84
3540,,award,4.14,1.01,7.86,1.15,3.3550000000000004,concrete-positive,positive,inanimate,12.88
105,,pizza,5.0,0.0,7.89,1.29,3.3,concrete-positive,positive,inanimate,33.51
3349,,laughter,4.22,1.34,8.05,1.57,3.24,concrete-positive,positive,inanimate,13.8
3106,,feast,4.3,0.95,7.57,1.4,3.085,concrete-positive,positive,inanimate,6.71
251,,doughnut,4.96,0.2,7.5,1.41,3.045,concrete-positive,positive,inanimate,4.22
358,,dollar,4.93,0.26,7.39,1.51,2.94,concrete-positive,positive,inanimate,27.65
573,,sandwich,4.9,0.31,7.18,1.33,2.925,concrete-positive,positive,inanimate,21.92
807,,meadow,4.86,0.58,7.3,1.53,2.885,concrete-positive,positive,inanimate,2.27
0,754.0,slave,4.38,0.9,2.06,1.92,0.07000000000000006,concrete-negative,negative,animate,18.43
1,1004.0,asshole,4.08,1.23,2.11,1.88,0.11499999999999999,concrete-negative,negative,animate,61.61
2,65.0,maggot,4.97,0.18,2.0,1.59,0.20499999999999996,concrete-negative,negative,animate,1.59
3,801.0,widow,4.33,0.73,2.28,1.71,0.2849999999999999,concrete-negative,negative,animate,12.1
4,930.0,inmate,4.19,1.04,2.67,2.09,0.29000000000000004,concrete-negative,negative,animate,2.69
5,837.0,dictator,4.29,0.9,2.77,2.18,0.29499999999999993,concrete-negative,negative,animate,2.12
6,794.0,leech,4.33,1.04,2.43,1.83,0.30000000000000004,concrete-negative,negative,animate,1.75
7,130.0,tapeworm,4.93,0.38,2.19,1.57,0.30999999999999994,concrete-negative,negative,animate,0.69
8,962.0,intruder,4.14,1.3,2.46,1.83,0.31499999999999995,concrete-negative,negative,animate,3.65
9,858.0,mugger,4.27,1.03,1.9,1.25,0.32499999999999996,concrete-negative,negative,animate,0.96
1031,,comedian,4.04,1.25,7.6,1.19,3.205,concrete-positive,positive,animate,4.1
338,,puppy,4.78,0.7,7.85,1.53,3.1599999999999997,concrete-positive,positive,animate,11.45
766,,sibling,4.37,0.89,7.27,1.16,3.0549999999999997,concrete-positive,positive,animate,0.96
111,,duckling,4.93,0.26,7.18,1.18,3.0,concrete-positive,positive,animate,0.76
232,,kitten,4.86,0.76,7.58,1.72,2.93,concrete-positive,positive,animate,4.73
53,,bunny,4.97,0.19,7.3,1.49,2.905,concrete-positive,positive,animate,18.55
333,,child,4.78,0.58,7.2,1.47,2.865,concrete-positive,positive,animate,157.65
395,,princess,4.72,0.53,7.64,1.94,2.8499999999999996,concrete-positive,positive,animate,39.59
54,,chipmunk,4.97,0.19,7.33,1.64,2.845,concrete-positive,positive,animate,0.82
981,,husband,4.11,1.22,7.41,1.74,2.835,concrete-positive,positive,animate,194.8
